id,puzzle,solution,clues,difficulty
1,..149....642.31........8........67...54...9..9....5..8...6....5.......2...5.24.81,831497562642531879579268134128946753754382916963175248287613495416859327395724681,25,4.5
2,..6...7.9..8..9.6.15...2........8...37.....5....431..........1.28...7.4....5..8.6,436815729728349561159672384642758193371296458895431672564983217283167945917524836,24,1.2
3,625..1..8.7..8...68........2....4....4..1.3........1.......7.32.....6.9..84.3....,625371948473985216819462753231794685547618329968523174196857432352146897784239561,23,0.0
4,...8.9.....4...7..8...5...2.6.....24.......5.91..8...36...3......1..4..6..81.5...,127849365534216798896357412763591824482673159915482673659738241371924586248165937,23,0.0
5,.....64..7.4...5.....8..69.6...91..5..3..4...5.7..31...3.6...7....4.......1....8.,398156427764329518125847693642791835913584762587263149839615274276438951451972386,24,0.0
6,5..8.......647.........9.126..1.78..........6.9.3.52.7.2....4.58........4.9.8....,532816974916472538784539612645127893273948156198365247327691485861754329459283761,25,2.1
7,...2...5.4...81.....6.....96....82...97.3..1..54..7.....1..35.....79......2...7..,138269457479581326526374189613958274297436815854127963761843592385792641942615738,24,1.7
8,3......9.4...9.216..7.4......9.51..2.8....3.......9.5..4.....2..1.8....3....164..,321568794458793216967142538639451872185627349274389651846935127512874963793216485,25,1.0
9,..7.5.39..1.64.........1.....1.36...7....85..8.4...9.3...9...7.6.3.8.....48...2..,467852391312649785589371624291536847736498512854127963125963478673284159948715236,26,0.0
10,......2.6...7....8.5......36.1.5.32.....37.....2......9...7......36..4915..81....,148593276369742518257186943671458329895237164432961785916374852783625491524819637,24,0.0
11,7....1..3...4...2.....62........419.3..9.87..58.........534......7...6...1...6...,724851963156493827938762415672534198341928756589617342865349271297185634413276589,23,0.0
12,..4.2..1..2.1....8......9.......32...67...5....94.5.6.4.....7..6.12...3....97....,984327615526149378713586924845763291167892543239415867498631752671258439352974186,24,0.0
13,.5.1...2...2.5.78...14........83.9.5.47.9.........2......3.9...96........85.....4,859173426432956781671428539126834975347591268598762143714389652963245817285617394,24,1.8
14,7.1..4.52.........6452.9.....6..23.5......79..1........8..439..5..8...4.....7....,791384652823657419645219873476192385352468791918735264187543926539826147264971538,25,0.0
15,...1....7.2.3...5.....6.32.4...2........58..39.1.........2.4....68.3.2........58.,835142697624397158197865324483621975276958413951473862519284736768539241342716589,23,0.0
16,...1....78.9.4......6..84.5.8......49...........37.8.....5..3.2.176....9.5...3.7.,245136987839745216176928435783251694921864753564379821498517362317682549652493178,25,1.4
17,....6.9.......34..31..7.....526..........5.4...9....72....4...384...9.1.93...6...,574862931298153467316974258452617389783295146169438572625741893847329615931586724,24,2.2
18,...1.76..178...5.9.9....4...6.31...7..3.5.........2.......3.....15...2...8.....64,534197628178246539296583471862314957743659812951872346629431785415768293387925164,24,0.0
19,........8..61..42....59.7.396..........34..7..24.......4.6.....5....1..4.127..3..,275463198396178425481592763963257841158346972724819536849635217537921684612784359,25,0.0
20,..8.9.....6....3.2.7.1....88..4.3..7....1..692.....1...2.7....1..9.....3....4.5..,318296475965874312472135698891463257734512869256987134623758941549621783187349526,24,2.8
21,....7.8.......6..996..5..12.9...7...3.2..46....432..5.1.3.6..8.......3.1.2.......,245971836831246579967853412598617243312584697674329158153762984786495321429138765,26,3.3
22,815.9...6...5...92......8.1..6.5....5.367.4..2....3...32......4.4....1...........,815392746467518392932746851186254937593671428274983615328169574749825163651437289,24,2.2
23,31...2..992...4.7..8.....45...3.6...1......3...8.7.4.1.....9....9......8...48..2.,314752869925864173786193245249316587157948632638275491862539714491627358573481926,25,1.6
24,........75...48.1..9....4.........9....5....6971..68..75.6.......84.....13...59..,413962587527348619896157423645871392382594176971236854759683241268419735134725968,24,1.3
25,..72..6.5...4.3...29.........3..8..15..69..8.6........8..3......7481.5......2...4,437289615168453729295761348723548961541697283689132457852374196974816532316925874,25,0.0
26,........74.6.....3...9..5..5.4.2.....2......6.9.85..2.....63..8..2.75.4...3......,259631487476582193138947562564729831827314956391856724915463278682175349743298615,23,0.0
27,..8....5.49...53....2.........536........1.7....72.4.52.9.6......52.3..8.1.....3.,768342159491675382352198647974536821526481973183729465239867514645213798817954236,25,5.3
28,......51..1..4..3.8...2....1.....97.7.3..2..649.......2.9..5......4..6.......8753,324869517916547238875123469162384975753912846498756321239675184587431692641298753,25,0.0
29,48...3..1....18...3.....7....7.8...68....93.......5....1.46.2............96....13,489723561672518934351946728937284156865179342124635897513467289248391675796852413,23,1.4
30,8.3....5.....25..11....7.86.28....3.7....4..2.1..6...5...........9...7.....1.6.48,873619254946825371152437986628951437795384162314762895481573629569248713237196548,25,0.0
31,9..5..2....5.3..7.4...8...9..1...32.....73...6.........4.6.2.....7...4.1...3..5..,978564213165239874432781659781496325254173986693825147549612738327958461816347592,23,0.0
32,..834..............976.8.326...7..1....56........9.3...862....32....478....9.....,128345679364729851597618432642873915973561248815492367486257193259134786731986524,25,2.3
33,5.37...........6.........2...8.....9....4.5....168....4..81.2..2...6..7..1.4.795.,523796814174238695869154327648572139732941586951683742497815263285369471316427958,24,2.5
34,...1...352...5..6...8..2...71..6.....9...1...36.....245.......9.79.........58....,946178235237954861158632947714265398892341756365897124583726419679413582421589673,23,0.0
35,.9..1...8.......5.47.2.8.9...1...2....9..7..4..5..39...5..42...2.....6.38........,592314768138976452476258391381469275629587134745123986953642817217895643864731529,24,1.4
36,9.....13.43...5.....6....72.9...2.482..9.7...8...3.......6.82..6.......1.4..9....,972864135431725869586319472397152648264987513815436927153678294629543781748291356,25,3.4
37,6.2..9.....8...7...9..3.......2....4.3.4.1..51.....6....6.....827...3.1.....2....,652719843348652791791834562567298134839461275124375689916547328275983416483126957,22,1.1
38,....91...4.15...8..3..7..5..58......2..1......6....9..8...6....3..9..24......816.,785491632421536789639872451958627314243159876167384925814263597376915248592748163,24,0.0
39,.....6..338.............954.....3.761...8..9..931......2.7........9.8..5..5.2...7,549216783387549261216837954852493176174685392693172548428751639731968425965324817,24,0.0
40,.....95..9....7...5..4.289.1....597...4.....16..1....2...8.4....3.......4.5.7.6..,342689517918357264576412893183245976294768351657193482769834125831526749425971638,25,2.7
41,.......5..12...84.76..9.............2..75...3..48.2.7.1.....5..6..9.5...43.27....,943128756512637849768594312871349625296751483354862971129483567687915234435276198,25,0.0
42,.......2.5..47..13.....5..6..2..6.3.69........1..3..8....32.7....96.7.....1.5...8,948163527526479813137285946852796134693841275714532689465328791389617452271954368,25,3.7
43,...1...8.....3..4.3...9.72...7.2.1...9..5..3..16........2.....4.5.7..6...8.3...1.,625147983978236541341895726537428169294651837816973452162589374453712698789364215,24,0.0
44,....4.3....1....6...5..97...438....28....4.....7..1.......6..481.........9..7...5,279648351431257869685319724543896172816724593927531486752163948164985237398472615,22,1.0
45,.98...61...6..1.844.......5.45......1.9...3...7......2..45...6.2..7.4.9.....9...3,398245617756931284412876935645312879129487356873659142984523761231764598567198423,26,0.0
46,.5..8.2472...6..8....7....9...2.56..1.53.......9...1...42.....6.1....92....1....8,651983247297564381438721569784215693125396874369478152542839716813647925976152438,26,2.2
47,9..6...1...85.4.9.4..81.62.5.4.76...63...5..2..2........67.135.........4.....2...,925637418168524793473819625594276831637185942812493567286741359351968274749352186,28,1.5
48,......35....2.5..1.47..6....75.............193.2.6...5.5....8..6.4....7.7..8...3.,126948357839275641547136928975481263468352719312769485253617894684593172791824536,24,0.0
49,.....3...5.362.1.9...519..237...58........9.3.984..6..46.....1......23......5....,921743568543628179687519432376295841154876923298431657469387215715962384832154796,27,2.6
50,.9...72..2......9..5.9....74.....87.5.13...6...2.8....64.1........6.9.......3..5.,896457213217863594354912687463291875581374962972586341648125739735649128129738456,24,0.0
51,.5...93.4..98.....3..4....6.4..9.15..........963..1...59..6..........5.8..4.2...3,856719324429836715371452896248693157715284639963571482597368241132947568684125973,25,2.9
52,.3.79.......6.8....27..5...3...4..9....8.94......6..58....82..118.9.....7.5...6..,634791825519628347827435169358147296276859413941263758463582971182976534795314682,26,3.0
53,....8.5...46......7.562.....2.....53.1......6.6.8.927.....5.79...1.........4...8.,132984567846517329795623418428176953917235846563849271684351792251798634379462185,24,2.7
54,34.9....7.......58.6.8...4.7...12.6.....3..1.5.3.8....6.....1.9.92...........3...,348951627271364958965827341789512463426739815513486792637245189192678534854193276,24,0.0
55,..6.....8.9.8.3...23.4..5....5...3..7..18.....2..7..4.....9.4....4....8.....6...2,456927138197853264238416579815649327743182956629375841562798413974231685381564792,23,0.0
56,..524............21.957..4...8....9......5.767...9.48....9......638....9...3...5.,635248917874619532129573648248736195391485276756192483587924361463851729912367854,25,2.5
57,685..1......25....1..9...3..67..9.......8.65.2......8.91...2.........1....6.938..,685431279739258416142967538867529341391784652254316987913842765428675193576193824,25,1.2
58,3.7.9..4.....4.6..6..3......521.........528.1......2...23..9...84....5.......8.6.,387296145295841637614375982752184396439652871168937254523469718846713529971528463,24,0.0
59,.....2.59..8..46..79...6.1..274..86...3.7154....8.....6..............38.....1....,346182759158794623792356418527439861983671542461825937639248175215967384874513296,25,2.0
60,..2.39.....1..5.2..6....14.9..3......3.42.....56.9..........2.8....6.53...7....1.,472139865891645723365872149914358672738426951256791384643517298189264537527983416,24,1.6
61,....17..........3....3648..5.678..2..12..6.5.......9.4...5...431..........7..2..6,324817695681925437795364812546789321912436758873251964269578143158643279437192586,25,0.0
62,.8..341.9........7..65..2..9...4...6.7..2.314.....8.....79...2..9..7.4..61.......,785234169239861547146597283921345876578629314364718952457983621892176435613452798,26,1.8
63,92.7....5...8..26...5............3...53......4...928....1.63..2..6..9.3..9..4....,928736415734815269615924783189657324253481697467392851871563942546279138392148576,24,0.0
64,.......7.8..4....66.4.7.21..9....12.......3.7..583.....81...9..4...6...........51,519628473872413596634975218398746125146592387725831649281357964457169832963284751,24,3.7
65,3.7...5...1.7....45.......81.6....4..8.1.5..6....6.....34.7..8......26.5...8.9...,367984512218753964549621378156237849483195726792468153934576281871342695625819437,25,2.4
66,.6.5...84.2...49.....3..1....8...52..9...2..35..8.....7.46.3.1...39..........1...,361529784825714936479368152138496527697152843542837691754683219213975468986241375,25,0.0
67,24...8...7.....8.9.5.4..3.....9...1...5.....43....472..6.1..2.8...3.6.....7.8.6..,249638157736521849158497362874962513625713984391854726963145278582376491417289635,26,2.0
68,....6.7..526.4......3.1...52.1.9....9..5....3.7.......8...2.4.96.....5...9....38.,419865732526347198783219645251693874968574213374182956835721469647938521192456387,25,1.8
69,.1..6..4..842...6.6...8.2.....5..7..3....4....75..219......985...634.......7.....,217963548584217369639485217462591783391874625875632194743129856156348972928756431,26,0.0
70,.9.1...7.....9...88...5.6...4.............961..6..54..9.....8.....62..53..14.7...,293168574654792318817354629349216785725843961186975432962531847478629153531487296,24,0.0
71,..1.7.....3........583.4.......1.86...7....3.2....6.41....43....7.....8..6..29.5.,421678395936251478758394216543917862617482539289536741195843627372165984864729153,24,2.1
72,...7...197....68.....18......3......59....2.3...26.....64...3.2.7..2......9..5.4.,638752419741396825952184637423579186596841273187263594864917352375428961219635748,24,2.7
73,2......67......84....3........698.2...2........8..4.5....15.3..6.14......7.8.21..,283941567719526843456387912537698421942715638168234759824159376691473285375862194,24,1.3
74,.........1.8.32.6.53..8.1......1..728..2.....95...63..........42...75.1....4....9,426157893178932465539684127643518972817293546952746381361829754294375618785461239,25,0.0
75,.......24.....51..6....159...271...8..8.......5......3.4362....5......6.....39...,915367824827945136634281597492713658368452719751896243143628975589174362276539481,23,2.4
76,58.4.7..143.8.1...2..........4....2....56...73.....5...6.....3.....4.7.2..3.5....,586427391437891256291635874654978123128563947379214568762189435915346782843752619,24,0.0
77,...8.91.4......8...7.4.......1..........47...4.9..6.2.92......7...1..6.85...7.9..,265839174194725836873461295751283469632947581489516723928654317347192658516378942,23,1.4
78,.642........1.....87.5..3..38........4.3.9..6.......9.6....4..1.......25.....87.9,164283957935147268872596314389465172241379586756812493627954831498731625513628749,23,0.0
79,.4..5....7......6..21.6.....9...42.....5...3...41.....2....7..4..3.2...195.3.....,649253178735418962821769543597834216182576439364192785216987354473625891958341627,23,1.7
80,.....6..9..9.1..37.5..7.4....42..........8.....1..49..47.....5.192...3.....8.....,317486529849512637256973481764259813923168745581734962478391256192645378635827194,23,2.8
81,.39.2...8.1...4.63..8....4.......6.479.......8.5.......71.92..........7....5.12.6,439627518217854963568139742123785694796243851845916327671392485352468179984571236,25,2.8
82,....8614...6.425......7.6..7.....43...9..38.5..87....26.....2..42..1.....71......,237586149916342587584179623752968431169423875348751962695837214423615798871294356,27,2.8
83,...87..5..2.5..8.3...9....4....8..692..3.....7.3.1....56.........9..4.2..4..3....,914873256627541893835962714451287369286395147793416582568729431379154628142638975,24,0.0
84,....9..35.73...2..2.....4.93..7.4...1...2.7...5....64...9......7....639.....82...,648297135973415286215863479326754918194628753857139642569371824782546391431982567,25,1.0
85,6...........9..3.53.18.6....4....2..1597....3...1.............1.63.....9..7.92...,695243178284917365371856942846539217159724683732168594928675431563481729417392856,23,1.4
86,..5..936.1..4.........6......9...1.82.......36..1..95..21.47...4..6......3......2,875219364162453879394768215549376128217985643683124957921847536458632791736591482,24,1.2
87,...92.41.5..13..67..........2....798...81......6......6.4.5.....7.....8.15.6.....,368927415542138967917546823421365798735819642896274351684752139273491586159683274,24,2.0
